TotalOrderValue,AverageOrderValue,Quantity,Cluster_KMeans,Cluster_DBSCAN
15.299999999999999,47.973076923076924,6,0,0
20.34,23.81,6,0,0
22.0,18.38,8,0,0
20.34,22.020857142857142,6,0,0
20.34,57.47153846153847,6,0,0
15.3,61.62500000000001,2,0,0
25.5,24.56578947368421,6,0,0
11.100000000000001,17.621052631578948,6,0,0
11.100000000000001,17.526315789473685,6,0,0
54.08,45.49677419354838,32,0,0
12.600000000000001,5.752173913043479,6,0,0
12.600000000000001,6.600000000000001,6,0,0
30.0,17.307692307692307,8,0,0
9.899999999999999,6.599999999999999,6,0,0
25.5,9.5625,6,0,0
14.850000000000001,17.325,3,0,0
19.9,27.007142857142856,2,0,0
17.85,26.42058823529412,3,0,0
17.85,20.825,3,0,0
31.8,18.55,4,0,0
31.8,43.69285714285714,4,0,0
25.5,20.427083333333332,6,0,0
14.850000000000001,7.92,3,0,0
14.850000000000001,8.25,3,0,0
14.850000000000001,11.137500000000001,3,0,0
17.85,18.51111111111111,3,0,0
90.0,27.98076923076923,24,0,0
90.0,33.45,24,0,0
45.0,25.27173913043478,12,0,0
10.2,10.2,12,0,0
15.600000000000001,9.912500000000001,24,0,0
40.8,13.174999999999999,48,0,0
30.0,35.01615384615385,24,0,0
53.1,14.75,18,0,0
70.80000000000001,33.76111111111111,24,0,0
46.8,31.66363636363636,24,0,0
46.8,47.15625,24,0,0
46.8,17.549999999999997,24,0,0
17.0,7.4799999999999995,20,0,0
39.599999999999994,64.8,24,0,0
70.80000000000001,13.275000000000002,24,0,0
45.0,16.875,12,0,0
10.08,10.08,24,0,0
10.08,10.08,24,0,0
23.400000000000002,36.225,36,0,0
54.0,47.94444444444444,3,0,0
204.0,31.150000000000002,80,0,0
11.100000000000001,17.526315789473685,6,0,0
11.100000000000001,17.621052631578948,6,0,0
15.299999999999999,47.973076923076924,6,0,0
20.34,23.81,6,0,0
22.0,18.38,8,0,0
29.700000000000003,34.4,6,0,0
6.36,10.708181818181819,6,0,0
6.36,5.41,6,0,0
6.36,8.222777777777777,6,0,0
6.36,7.2975,6,0,0
9.9,19.536363636363635,2,0,0
27.8,21.469047619047622,4,0,0
12.600000000000001,13.206521739130435,6,0,0
15.299999999999999,16.0125,6,0,0
20.34,22.020857142857142,6,0,0
20.34,57.47153846153847,6,0,0
15.3,61.62500000000001,2,0,0
25.5,24.56578947368421,6,0,0
350.4,75.3,32,0,-1
15.299999999999999,47.973076923076924,6,0,0
20.34,23.81,6,0,0
22.0,18.38,8,0,0
29.700000000000003,34.4,6,0,0
6.36,10.708181818181819,6,0,0
6.36,5.41,6,0,0
6.36,8.222777777777777,6,0,0
6.36,7.2975,6,0,0
9.9,19.536363636363635,2,0,0
27.8,21.469047619047622,4,0,0
12.600000000000001,13.206521739130435,6,0,0
15.299999999999999,16.0125,6,0,0
20.34,22.020857142857142,6,0,0
20.34,57.47153846153847,6,0,0
15.3,61.62500000000001,2,0,0
25.5,24.56578947368421,6,0,0
165.60000000000002,22.419642857142858,48,0,0
163.2,33.702777777777776,64,0,0
11.100000000000001,17.526315789473685,6,0,0
11.100000000000001,17.621052631578948,6,0,0
19.5,15.3,10,0,0
19.5,36.31666666666667,10,0,0
29.5,19.175,10,0,0
8.5,3.06,10,0,0
45.0,25.416666666666668,12,0,0
22.5,20.25,6,0,0
10.2,30.047272727272727,12,0,0
16.5,22.714285714285715,10,0,0
15.299999999999999,11.73,6,0,0
15.299999999999999,13.114285714285714,6,0,0
50.4,15.998,120,0,0
13.200000000000001,13.530000000000001,24,0,0
13.200000000000001,13.465384615384616,24,0,0
13.200000000000001,9.767857142857142,24,0,0
17.700000000000003,17.700000000000003,6,0,0
60.0,60.0,48,0,0
36.480000000000004,36.480000000000004,96,0,0
19.5,15.762500000000001,10,0,0
19.5,47.04,10,0,0
34.8,16.529999999999998,24,0,0
97.75,97.75,23,0,-1
24.75,24.75,5,0,0
19.5,11.595652173913043,10,0,0
4.2,14.700000000000001,2,0,0
7.5,10.208333333333334,6,0,0
30.0,27.0,24,0,0
30.0,20.3125,24,0,0
1.25,2.5,1,0,0
0.85,0.85,1,0,0
2.55,13.677272727272726,1,0,0
16.5,9.075,10,0,0
5.07,7.967142857142858,3,0,0
1.95,11.421428571428569,1,0,0
4.2,10.15,2,0,0
2.95,2.95,1,0,0
2.95,2.95,1,0,0
11.8,31.150000000000002,4,0,0
2.95,20.650000000000002,1,0,0
5.1,11.049999999999999,6,0,0
3.75,2.5,3,0,0
5.1,10.2,2,0,0
0.85,0.85,1,0,0
0.85,5.95,1,0,0
1.45,10.5125,1,0,0
4.95,19.307142857142857,1,0,0
5.9,5.9,2,0,0
11.9,35.1875,2,0,0
11.9,46.50714285714286,2,0,0
5.8,31.381249999999998,4,0,0
2.95,2.95,1,0,0
1.95,7.8,1,0,0
3.3,64.8,2,0,0
11.850000000000001,22.592000000000002,3,0,0
38.160000000000004,19.705000000000002,36,0,0
67.5,42.81666666666667,10,0,0
-27.5,-28.395,-1,0,0
10.2,13.174999999999999,12,0,0
30.0,13.392857142857142,8,0,0
19.799999999999997,19.799999999999997,12,0,0
19.5,11.595652173913043,10,0,0
21.0,14.7,10,0,0
92.5,49.4,50,0,0
23.6,11.0625,8,0,0
15.0,25.27173913043478,4,0,0
71.4,20.55454545454546,12,0,0
29.9,10.678571428571429,2,0,0
29.9,29.9,2,0,0
67.8,31.912499999999998,4,0,0
-4.65,112.9,-1,0,0
19.35,46.97142857142857,3,0,0
31.200000000000003,17.68,48,0,0
19.799999999999997,16.0875,12,0,0
17.700000000000003,11.8,6,0,0
35.400000000000006,17.00588235294118,12,0,0
58.0,14.41206896551724,40,0,0
102.0,17.490384615384617,40,0,0
17.700000000000003,11.8,6,0,0
25.5,17.85,2,0,0
15.8,82.745,4,0,0
17.85,8.925,3,0,0
41.7,18.533333333333335,6,0,0
87.6,44.2125,8,0,0
19.95,31.912499999999998,1,0,0
17.4,16.529999999999998,12,0,0
25.5,20.427083333333332,6,0,0
19.5,7.409999999999999,10,0,0
15.0,6.333333333333333,12,0,0
17.0,5.666666666666667,2,0,0
16.5,10.083333333333334,10,0,0
178.20000000000002,97.05000000000001,36,0,-1
165.0,36.31666666666667,100,0,0
165.0,47.352,100,0,0
733.4399999999999,130.255,192,2,-1
647.04,140.458,192,2,-1
647.04,179.8225,192,2,-1
626.4,100.48125,432,2,-1
540.0,64.8,432,2,-1
17.85,26.42058823529412,3,0,0
